period,partnerDesc,netWgt,primaryValue,数量(万吨),金额(亿美元)
201904,USA,1754610000.0,700641004.0,175.461,7.00641004
201905,Brazil,6353170000.0,2470520341.0,635.317,24.70520341
201905,USA,906139000.0,363455765.0,90.6139,3.63455765
201905,Argentina,67.0,901.0,6.7e-06,9.01e-06
201906,Brazil,5447230000.0,2030044181.0,544.723,20.30044181
201906,USA,614806000.0,242604716.0,61.4806,2.42604716
201906,Argentina,255216000.0,101155977.0,25.5216,1.01155977
201907,Brazil,6421600000.0,2391964824.0,642.16,23.91964824
201907,Argentina,1073190000.0,420455261.0,107.319,4.20455261
201907,USA,911874000.0,358686585.0,91.1874,3.58686585
201908,Brazil,6684300000.0,2569831237.0,668.43,25.69831237
201908,USA,1674990000.0,662669066.0,167.499,6.62669066
201908,Argentina,655055000.0,257361754.0,65.5055,2.57361754
201909,Brazil,4787700000.0,1872842651.0,478.77,18.72842651
201909,USA,1729780000.0,669783156.0,172.978,6.69783156
201909,Argentina,976485000.0,366764824.0,97.6485,3.66764824
201910,Brazil,3792970000.0,1496016219.0,379.297,14.96016219
201910,USA,1147340000.0,441530529.0,114.734,4.41530529
201910,Argentina,960093000.0,368424714.0,96.0093,3.68424714
201911,Brazil,3859190000.0,1590097530.0,385.919,15.9009753
201911,USA,2557040000.0,990097653.0,255.704,9.90097653
201911,Argentina,1417110000.0,563485555.0,141.711,5.63485555
201912,Brazil,4832360000.0,2015734223.0,483.236,20.15734223
201912,USA,3092570000.0,1217746112.0,309.257,12.17746112
201912,Argentina,1304930000.0,528483129.0,130.493,5.28483129
202001,USA,3393930000.0,1369942860.0,339.393,13.6994286
202001,Brazil,2933870000.0,1201632725.0,293.387,12.01632725
202001,Argentina,1370370000.0,553157943.0,137.037,5.53157943
202002,USA,2707350000.0,1099411081.0,270.735,10.99411081
202002,Brazil,2205210000.0,905567741.0,220.521,9.05567741
202002,Argentina,432177000.0,175458524.0,43.2177,1.75458524
202003,Brazil,2098810000.0,846103674.0,209.881,8.46103674
202003,USA,1711660000.0,693457016.0,171.166,6.93457016
202003,Argentina,335957014.0,135535728.0,33.5957014,1.35535728
202004,Brazil,5939570000.0,2318063159.0,593.957,23.18063159
202004,USA,665591000.0,264393084.0,66.5591,2.64393084
202004,Argentina,56165020.0,21648376.0,5.616502,0.21648376
202005,Brazil,8862170000.0,3396843949.0,886.217,33.96843949
202005,USA,491461000.0,188315544.0,49.1461,1.88315544
202005,Argentina,50.0,2018.0,5e-06,2.018e-05
202006,Brazil,10510700000.0,3954499955.0,1051.07,39.54499955
202006,Argentina,305939000.0,115694930.0,30.5939,1.1569493
202006,USA,267553000.0,106878186.0,26.7553,1.06878186
202007,Brazil,8179430000.0,3061256100.0,817.943,30.612561
202007,Argentina,1532390000.0,574836752.0,153.239,5.74836752
202007,USA,38331300.0,16092246.0,3.83313,0.16092246
202008,Brazil,8149490000.0,3065828302.0,814.949,30.65828302
202008,Argentina,977539000.0,372762856.0,97.7539,3.72762856
202008,USA,166370000.0,63184629.0,16.637,0.63184629
202009,Brazil,7244760000.0,2759605848.0,724.476,27.59605848
202009,USA,1168070000.0,457720069.0,116.807,4.57720069
202009,Argentina,1003960000.0,374964905.0,100.396,3.74964905
202010,Brazil,4233590000.0,1699119726.0,423.359,16.99119726
202010,USA,3389380000.0,1357743252.0,338.938,13.57743252
202010,Argentina,812983000.0,317017481.0,81.2983,3.17017481
202011,USA,6039990000.0,2507227822.0,603.999,25.07227822
202011,Brazil,2742700000.0,1178940320.0,274.27,11.7894032
202011,Argentina,497027000.0,200279116.0,49.7027,2.00279116
202012,USA,5834470000.0,2526106493.0,583.447,25.26106493
202012,Brazil,1177140000.0,518308039.0,117.714,5.18308039
202012,Argentina,131362000.0,55578941.0,13.1362,0.55578941
202101,USA,6667970000.0,3043428968.0,666.797,30.43428968
202101,Brazil,998241000.0,458888106.0,99.8241,4.58888106
202101,Argentina,36486000.0,19148895.0,3.6486,0.19148895
202102,USA,5259340000.0,2559580542.0,525.934,25.59580542
202102,Argentina,45230000.0,17133750.0,4.523,0.1713375
202102,Brazil,33450000.0,17791381.0,3.345,0.17791381
202103,USA,7120110000.0,3580392105.0,712.011,35.80392105
202103,Brazil,315361000.0,175020525.0,31.5361,1.75020525
202104,Brazil,5075720000.0,2802169789.0,507.572,28.02169789
202104,USA,2152670000.0,1138489156.0,215.267,11.38489156
202105,Brazil,9234890000.0,4884446112.0,923.489,48.84446112
202105,USA,244595000.0,151937499.0,24.4595,1.51937499
202106,Brazil,10415900000.0,5844721258.0,1041.59,58.44721258
202106,Argentina,82800000.0,45678837.0,8.28,0.45678837
202106,USA,54805700.0,32728752.0,5.480569999999999,0.32728752
202107,Brazil,7874100000.0,4563077592.0,787.41,45.63077592
202107,Argentina,660569000.0,336738620.0,66.0569,3.3673862
202107,USA,42276900.0,25941140.0,4.22769,0.2594114
202108,Brazil,9013530000.0,5267814115.0,901.353,52.67814115
202108,Argentina,136906000.0,84955951.0,13.6906,0.84955951
202108,USA,17575800.0,11353984.0,1.75758,0.11353984
202109,Brazil,5935810010.0,3530747481.0,593.581001,35.30747481
202109,Argentina,524538000.0,315420717.0,52.4538,3.15420717
202109,USA,169439000.0,99175291.0,16.9439,0.99175291
202110,Brazil,3297010000.0,1988972290.0,329.701,19.8897229
202110,Argentina,923177000.0,540106413.0,92.3177,5.40106413
202110,USA,774261000.0,455607458.0,77.4261,4.55607458
202111,Brazil,3753250000.0,2232298524.0,375.325,22.32298524
202111,USA,3318570000.0,1981556697.0,331.857,19.81556697
202111,Argentina,963502000.0,575021471.0,96.3502,5.75021471
202112,USA,5801130000.0,3477519094.0,580.113,34.77519094
202112,Brazil,2116400000.0,1324888756.0,211.64,13.24888756
202112,Argentina,338112000.0,195989669.0,33.8112,1.95989669
202201,USA,6192075000.0,3724575472.0,619.2075,37.24575472
202201,Brazil,2215180000.0,1354226330.0,221.518,13.5422633
202201,Argentina,122511000.0,73261606.0,12.2511,0.73261606
202202,USA,3186315910.0,1934845081.0,318.631591,19.34845081
202202,Brazil,1291600000.0,779887084.0,129.16,7.79887084
202203,Brazil,2864140000.0,1826528169.0,286.414,18.26528169
202203,USA,2838643800.0,1759430945.0,283.86438,17.59430945
202204,Brazil,6301570128.052,4210168539.0,630.1570128052,42.10168539
202204,USA,1626787230.0,1046760448.0,162.678723,10.46760448
202205,Brazil,7793330000.0,5180100052.0,779.333,51.80100052
202205,USA,1732683980.0,1209724633.0,173.268398,12.09724633
202206,Brazil,7237560000.0,5014316561.0,723.756,50.14316561
202206,USA,772985670.0,583943333.0,77.298567,5.83943333
202206,Argentina,36.0,337.0,3.6e-06,3.37e-06
202207,Brazil,6971460000.0,5089855274.0,697.146,50.89855274
202207,USA,381567540.0,285962499.0,38.156754,2.85962499
202207,Argentina,139573000.0,95479123.0,13.9573,0.95479123
202208,Brazil,6245250000.0,4504908851.0,624.525,45.04908851
202208,USA,288027930.0,207160919.0,28.802792999999998,2.07160919
202208,Argentina,197625000.0,145213344.0,19.7625,1.45213344
202209,Brazil,5576550002.0,3984801652.0,557.6550002,39.84801652
202209,USA,1153320739.0,831205852.0,115.33207390000001,8.31205852
202209,Argentina,348973000.0,249976317.0,34.8973,2.49976317
202210,Brazil,2795520000.0,1940126840.0,279.552,19.4012684
202210,USA,772787001.0,530313201.0,77.27870010000001,5.30313201
202210,Argentina,144720000.0,103090490.0,14.472,1.0309049
202211,USA,3288285460.0,2211529386.0,328.828546,22.11529386
202211,Brazil,2536520000.0,1713258187.0,253.652,17.13258187
202211,Argentina,1105440000.0,732402554.0,110.544,7.32402554
202212,USA,5568056298.0,3708840089.0,556.8056298,37.08840089
202212,Brazil,2564160000.0,1703210325.0,256.416,17.03210325
202212,Argentina,1459110000.0,934850601.0,145.911,9.34850601
202301,USA,4605600000.0,3089011658.0,460.56,30.89011658
202301,Brazil,1831540000.0,1230943459.0,183.154,12.30943459
202301,Argentina,1296590006.0,836824407.0,129.6590006,8.36824407
202302,USA,5632410489.0,3804371083.0,563.2410489,38.04371083
202302,Brazil,408681000.0,280615243.0,40.8681,2.80615243
202302,Argentina,59800000.0,40806199.0,5.98,0.40806199
202303,USA,4687733770.0,3121174150.0,468.773377,31.2117415
202303,Brazil,1671330000.0,1096867732.0,167.133,10.96867732
202303,Argentina,72600000.0,44917103.0,7.26,0.44917103
202304,Brazil,5296010000.0,3336751602.0,529.601,33.36751602
202304,USA,1761656101.0,1172412162.0,176.1656101,11.72412162
202305,Brazil,10933700000.0,6684071520.0,1093.37,66.8407152
202305,USA,938061140.0,606874668.0,93.80611400000001,6.06874668
202306,Brazil,9529330000.0,5609677719.0,952.933,56.09677719
202306,USA,527823293.0,337967144.0,52.782329299999994,3.37967144
202307,Brazil,9229210000.0,5179313692.0,922.921,51.79313692
202307,USA,142149666.0,89757843.0,14.2149666,0.89757843
202307,Argentina,118092000.0,69088653.0,11.8092,0.69088653
202308,Brazil,9087190000.0,5051024950.0,908.719,50.5102495
