year,partner_country,segment,chip_import_charges
2022,Albania,general,19043.0
2022,Algeria,general,3740.0
2022,Andorra,general,78553.0
2022,Angola,general,568.0
2022,Anguilla,general,3315.0
2022,Antigua and Barbuda,general,16961.0
2022,Argentina,general,1120085.0
2022,Armenia,general,778680.0
2022,Aruba,general,3369.0
2022,Australia,general,10308116.0
2022,Austria,general,36379147.0
2022,Azerbaijan,general,1228.0
2022,Bahamas,general,14477.0
2022,Bahrain,general,4094.0
2022,Bangladesh,general,559361.0
2022,Barbados,general,3937.0
2022,Belarus,general,77238.0
2022,Belgium,general,11771694.0
2022,Belize,general,30578.0
2022,Benin,general,0.0
2022,Bermuda,general,1967.0
2022,Bhutan,general,75.0
2022,Bolivia,general,6801.0
2022,Bosnia and Herzegovina,general,224414.0
2022,Botswana,general,1116.0
2022,Brazil,general,36371170.0
2022,British Indian Ocean Territory,general,600.0
2022,British Virgin Islands,general,718.0
2022,Brunei,general,108800.0
2022,Bulgaria,general,3435639.0
2022,Burkina Faso,general,1609.0
2022,Cabo Verde,general,2181.0
2022,Cambodia,general,87107309.0
2022,Cameroon,general,121930.0
2022,Canada,general,80592075.0
2022,Cayman Islands,general,61464.0
2022,Central African Republic,general,0.0
2022,Chad,general,12310.0
2022,Chile,general,702210.0
2022,China,general,4795969688.0
2022,Christmas Island,general,13647.0
2022,Cocos (Keeling) Islands,general,1109.0
2022,Colombia,general,9159170.0
2022,Comoros,general,3515.0
2022,Cook Islands,general,1783.0
2022,Costa Rica,general,8817330.0
2022,Croatia,general,4187890.0
2022,Curaçao,general,21868.0
2022,Cyprus,general,33141.0
2022,Czechia (Czech Republic),general,40734290.0
2022,Côte d`Ivoire,general,6697.0
2022,Democratic Republic of the Congo,general,1516.0
2022,Denmark,general,11239612.0
2022,Djibouti,general,976.0
2022,Dominica,general,2207.0
2022,Dominican Republic,general,10706381.0
2022,Ecuador,general,3951655.0
2022,Egypt,general,273091.0
2022,El Salvador,general,3057711.0
2022,Equatorial Guinea,general,1001.0
2022,Eritrea,general,122.0
2022,Estonia,general,7420304.0
2022,Eswatini (Swaziland),general,32065.0
2022,Ethiopia,general,7794.0
2022,Falkland Islands,general,1394.0
2022,Faroe Islands,general,2024.0
2022,Fiji,general,8100.0
2022,Finland,general,11170840.0
2022,France,general,52823348.0
2022,French Guiana,general,248.0
2022,French Polynesia,general,25593.0
2022,French Southern and Antarctic Lands,general,642.0
2022,Gabon,general,3335.0
2022,Gambia,general,4586.0
